,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Bacteroides sp. CAG:661,Bacteroides sp. CAG:661,Bacteroides sp. CAG:661,Bacteroides sp. CAG:661,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Rikenella microfusus,Rikenella microfusus,Rikenella microfusus,Rikenella microfusus,Rikenella,Rikenella,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Citrobacter europaeus,Citrobacter europaeus,Citrobacter europaeus,Citrobacter europaeus,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Christensenella hongkongensis,Christensenella hongkongensis,Christensenella hongkongensis,Christensenella hongkongensis,Christensenella,Christensenella,Christensenellaceae,Christensenellaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Prevotella sp. CAG:1058,Prevotella sp. CAG:1058,Prevotella sp. CAG:1058,Prevotella sp. CAG:1058,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Desulfovibrio sp. An276,Desulfovibrio sp. An276,Desulfovibrio sp. An276,Desulfovibrio sp. An276,Desulfovibrio,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionales,Deltaproteobacteria,Deltaproteobacteria,Proteobacteria,Proteobacteria
Bacteroides sp. 43_108,Bacteroides sp. 43_108,Bacteroides sp. 43_108,Bacteroides sp. 43_108,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Succinatimonas hippei,Succinatimonas hippei,Succinatimonas hippei,Succinatimonas hippei,Succinatimonas,Succinatimonas,Succinivibrionaceae,Succinivibrionaceae,Aeromonadales,Aeromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Brachyspira sp. CAG:700,Brachyspira sp. CAG:700,Brachyspira sp. CAG:700,Brachyspira sp. CAG:700,Brachyspira,Brachyspira,Brachyspiraceae,Brachyspiraceae,Brachyspirales,Brachyspirales,Spirochaetia,Spirochaetia,Spirochaetes,Spirochaetes
Candidatus Stoquefichus sp. KLE1796,Candidatus Stoquefichus sp. KLE1796,Candidatus Stoquefichus sp. KLE1796,Candidatus Stoquefichus sp. KLE1796,Candidatus Stoquefichus,Candidatus Stoquefichus,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Firmicutes bacterium CAG:646,Firmicutes bacterium CAG:646,Firmicutes bacterium CAG:646,Firmicutes bacterium CAG:646,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Anaerofustis stercorihominis,Anaerofustis stercorihominis,Anaerofustis stercorihominis,Anaerofustis stercorihominis,Anaerofustis,Anaerofustis,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Peptostreptococcus sp. MV1,Peptostreptococcus sp. MV1,Peptostreptococcus sp. MV1,Peptostreptococcus sp. MV1,Peptostreptococcus,Peptostreptococcus,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Peptoniphilus harei,Peptoniphilus harei,Peptoniphilus harei,Peptoniphilus harei,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Bacteroides stercorirosoris,Bacteroides stercorirosoris,Bacteroides stercorirosoris,Bacteroides stercorirosoris,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Leuconostoc gelidum,Leuconostoc gelidum,Leuconostoc gelidum,Leuconostoc gelidum,Leuconostoc,Leuconostoc,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Anaerococcus vaginalis,Anaerococcus vaginalis,Anaerococcus vaginalis,Anaerococcus vaginalis,Anaerococcus,Anaerococcus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Prevotella sp. CAG:617,Prevotella sp. CAG:617,Prevotella sp. CAG:617,Prevotella sp. CAG:617,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Fusobacterium gonidiaformans,Fusobacterium gonidiaformans,Fusobacterium gonidiaformans,Fusobacterium gonidiaformans,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Parvimonas sp. KA00067,Parvimonas sp. KA00067,Parvimonas sp. KA00067,Parvimonas sp. KA00067,Parvimonas,Parvimonas,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Clostridium sp. CAG:632,Clostridium sp. CAG:632,Clostridium sp. CAG:632,Clostridium sp. CAG:632,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Paeniclostridium sordellii,Paeniclostridium sordellii,Paeniclostridium sordellii,Paeniclostridium sordellii,Paeniclostridium,Paeniclostridium,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides fluxus,Bacteroides fluxus,Bacteroides fluxus,Bacteroides fluxus,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Prevotella sp. 885,Prevotella sp. 885,Prevotella sp. 885,Prevotella sp. 885,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Ruminococcus sp. CAG:579,Ruminococcus sp. CAG:579,Ruminococcus sp. CAG:579,Ruminococcus sp. CAG:579,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Citrobacter pasteurii,Citrobacter pasteurii,Citrobacter pasteurii,Citrobacter pasteurii,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Lactiplantibacillus,Lactiplantibacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Leuconostoc lactis,Leuconostoc lactis,Leuconostoc lactis,Leuconostoc lactis,Leuconostoc,Leuconostoc,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bacteroides sp. CAG:598,Bacteroides sp. CAG:598,Bacteroides sp. CAG:598,Bacteroides sp. CAG:598,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Citrobacter sp. MGH106,Citrobacter sp. MGH106,Citrobacter sp. MGH106,Citrobacter sp. MGH106,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Actinomyces sp. HPA0247,Actinomyces sp. HPA0247,Actinomyces sp. HPA0247,Actinomyces sp. HPA0247,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Clostridium sp. D5,Clostridium sp. D5,Clostridium sp. D5,Clostridium sp. D5,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Anaerofilum sp. An201,Anaerofilum sp. An201,Anaerofilum sp. An201,Anaerofilum sp. An201,Anaerofilum,Anaerofilum,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Eubacterium coprostanoligenes,Eubacterium coprostanoligenes,Eubacterium coprostanoligenes,Eubacterium coprostanoligenes,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Prevotella sp. CAG:1092,Prevotella sp. CAG:1092,Prevotella sp. CAG:1092,Prevotella sp. CAG:1092,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Lactobacillus crispatus,Lactobacillus crispatus,Lactobacillus crispatus,Lactobacillus crispatus,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Leuconostoc carnosum,Leuconostoc carnosum,Leuconostoc carnosum,Leuconostoc carnosum,Leuconostoc,Leuconostoc,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Latilactobacillus sakei,Latilactobacillus sakei,Latilactobacillus sakei,Latilactobacillus sakei,Latilactobacillus,Latilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Dellaglioa algida,Dellaglioa algida,Dellaglioa algida,Dellaglioa algida,Dellaglioa,Dellaglioa,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Pediococcus argentinicus,Pediococcus argentinicus,Pediococcus argentinicus,Pediococcus argentinicus,Pediococcus,Pediococcus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Mycoplasma hominis,Mycoplasma hominis,Mycoplasma hominis,Mycoplasma hominis,Mycoplasma,Mycoplasma,Mycoplasmataceae,Mycoplasmataceae,Mycoplasmatales,Mycoplasmatales,Mollicutes,Mollicutes,Tenericutes,Tenericutes
Peptoniphilus sp. DNF00840,Peptoniphilus sp. DNF00840,Peptoniphilus sp. DNF00840,Peptoniphilus sp. DNF00840,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Bacteroidales bacterium KA00251,Bacteroidales bacterium KA00251,Bacteroidales bacterium KA00251,Bacteroidales bacterium KA00251,Bacteroidales_NA_NA,Bacteroidales_NA_NA,Bacteroidales_NA,Bacteroidales_NA,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Anaerococcus tetradius,Anaerococcus tetradius,Anaerococcus tetradius,Anaerococcus tetradius,Anaerococcus,Anaerococcus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Solobacterium moorei,Solobacterium moorei,Solobacterium moorei,Solobacterium moorei,Solobacterium,Solobacterium,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Leuconostoc citreum,Leuconostoc citreum,Leuconostoc citreum,Leuconostoc citreum,Leuconostoc,Leuconostoc,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Roseburia sp. 831b,Roseburia sp. 831b,Roseburia sp. 831b,Roseburia sp. 831b,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Weissella confusa,Weissella confusa,Weissella confusa,Weissella confusa,Weissella,Weissella,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Limosilactobacillus mucosae,Limosilactobacillus mucosae,Limosilactobacillus mucosae,Limosilactobacillus mucosae,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Barnesiella sp. An22,Barnesiella sp. An22,Barnesiella sp. An22,Barnesiella sp. An22,Barnesiella,Barnesiella,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Fusobacterium sp. oral taxon 370,Fusobacterium sp. oral taxon 370,Fusobacterium sp. oral taxon 370,Fusobacterium sp. oral taxon 370,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Porphyromonas endodontalis,Porphyromonas endodontalis,Porphyromonas endodontalis,Porphyromonas endodontalis,Porphyromonas,Porphyromonas,Porphyromonadaceae,Porphyromonadaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Wohlfahrtiimonas sp. G9077,Wohlfahrtiimonas sp. G9077,Wohlfahrtiimonas sp. G9077,Wohlfahrtiimonas sp. G9077,Wohlfahrtiimonas,Wohlfahrtiimonas,Gammaproteobacteria_NA_NA,Gammaproteobacteria_NA_NA,Gammaproteobacteria_NA,Gammaproteobacteria_NA,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,Aggregatibacter,Aggregatibacter,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Tannerella forsythia,Tannerella forsythia,Tannerella forsythia,Tannerella forsythia,Tannerella,Tannerella,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Limosilactobacillus fermentum,Limosilactobacillus fermentum,Limosilactobacillus fermentum,Limosilactobacillus fermentum,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium sp. CAG:590,Clostridium sp. CAG:590,Clostridium sp. CAG:590,Clostridium sp. CAG:590,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Muribaculum intestinale,Muribaculum intestinale,Muribaculum intestinale,Muribaculum intestinale,Muribaculum,Muribaculum,Muribaculaceae,Muribaculaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Bacteroides caecimuris,Bacteroides caecimuris,Bacteroides caecimuris,Bacteroides caecimuris,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Lactococcus raffinolactis,Lactococcus raffinolactis,Lactococcus raffinolactis,Lactococcus raffinolactis,Lactococcus,Lactococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Eubacterium sp. An11,Eubacterium sp. An11,Eubacterium sp. An11,Eubacterium sp. An11,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lachnoclostridium sp. An118,Lachnoclostridium sp. An118,Lachnoclostridium sp. An118,Lachnoclostridium sp. An118,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lactobacillus ultunensis,Lactobacillus ultunensis,Lactobacillus ultunensis,Lactobacillus ultunensis,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Limosilactobacillus vaginalis,Limosilactobacillus vaginalis,Limosilactobacillus vaginalis,Limosilactobacillus vaginalis,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Limosilactobacillus oris,Limosilactobacillus oris,Limosilactobacillus oris,Limosilactobacillus oris,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Helicobacter equorum,Helicobacter equorum,Helicobacter equorum,Helicobacter equorum,Helicobacter,Helicobacter,Helicobacteraceae,Helicobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Pasteurella bettyae,Pasteurella bettyae,Pasteurella bettyae,Pasteurella bettyae,Pasteurella,Pasteurella,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Prevotella sp. CAG:924,Prevotella sp. CAG:924,Prevotella sp. CAG:924,Prevotella sp. CAG:924,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Streptococcus sp. HMSC034E03,Streptococcus sp. HMSC034E03,Streptococcus sp. HMSC034E03,Streptococcus sp. HMSC034E03,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Barnesiella viscericola,Barnesiella viscericola,Barnesiella viscericola,Barnesiella viscericola,Barnesiella,Barnesiella,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Anaerococcus lactolyticus,Anaerococcus lactolyticus,Anaerococcus lactolyticus,Anaerococcus lactolyticus,Anaerococcus,Anaerococcus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Methanosphaera cuniculi,Methanosphaera cuniculi,Methanosphaera cuniculi,Methanosphaera cuniculi,Methanosphaera,Methanosphaera,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Ureaplasma urealyticum,Ureaplasma urealyticum,Ureaplasma urealyticum,Ureaplasma urealyticum,Ureaplasma,Ureaplasma,Mycoplasmataceae,Mycoplasmataceae,Mycoplasmatales,Mycoplasmatales,Mollicutes,Mollicutes,Tenericutes,Tenericutes
Morganella morganii,Morganella morganii,Morganella morganii,Morganella morganii,Morganella,Morganella,Morganellaceae,Morganellaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces,Saccharomyces,Saccharomycetaceae,Saccharomycetaceae,Saccharomycetales,Saccharomycetales,Saccharomycetes,Saccharomycetes,Ascomycota,Ascomycota
Prevotella sp. CAG:485,Prevotella sp. CAG:485,Prevotella sp. CAG:485,Prevotella sp. CAG:485,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Parabacteroides chinchillae,Parabacteroides chinchillae,Parabacteroides chinchillae,Parabacteroides chinchillae,Parabacteroides,Parabacteroides,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Streptococcus parauberis,Streptococcus parauberis,Streptococcus parauberis,Streptococcus parauberis,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Gemmiger sp. An87,Gemmiger sp. An87,Gemmiger sp. An87,Gemmiger sp. An87,Gemmiger,Gemmiger,Eubacteriales_NA,Eubacteriales_NA,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Actinomyces sp. S6-Spd3,Actinomyces sp. S6-Spd3,Actinomyces sp. S6-Spd3,Actinomyces sp. S6-Spd3,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Limosilactobacillus gastricus,Limosilactobacillus gastricus,Limosilactobacillus gastricus,Limosilactobacillus gastricus,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Pyramidobacter piscolens,Pyramidobacter piscolens,Pyramidobacter piscolens,Pyramidobacter piscolens,Pyramidobacter,Pyramidobacter,Synergistaceae,Synergistaceae,Synergistales,Synergistales,Synergistia,Synergistia,Synergistetes,Synergistetes
Subdoligranulum variabile,Subdoligranulum variabile,Subdoligranulum variabile,Subdoligranulum variabile,Subdoligranulum,Subdoligranulum,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Ruminococcus sp. CAG:563,Ruminococcus sp. CAG:563,Ruminococcus sp. CAG:563,Ruminococcus sp. CAG:563,Ruminococcus,Ruminococcus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Aliarcobacter butzleri,Aliarcobacter butzleri,Aliarcobacter butzleri,Aliarcobacter butzleri,Aliarcobacter,Aliarcobacter,Arcobacteraceae,Arcobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Faecalicatena orotica,Faecalicatena orotica,Faecalicatena orotica,Faecalicatena orotica,Faecalicatena,Faecalicatena,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
